"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Page Editing","Save and Publish","","2","0","4","0","0"
"Page Editing","Inspector","","0","0","18","0","0"
"Page Editing","","","2","0","5","0","0"
"Page Editing","Editor settings","","1","0","4","0","0"
"Sample Test","Sample Test Feature","","0","0","1","0","0"
"Page Editing","Leave page","","1","0","3","0","0"
"Page Editing","Screen size","","1","0","1","0","0"
"Page Editing","Don't remind me again","","2","0","4","0","0"
"Undo/Redo","Template page","","0","0","2","0","0"
"Page Editing","Editor helpers","","0","0","5","0","0"
